platform_key,platform_label,section,command,description,type
netscaler,Citrix NetScaler,GSLB,show gslb service,"Lists all GSLB services: name, IP, site, state, and metrics",show
netscaler,Citrix NetScaler,GSLB,show gslb site,Lists all GSLB sites and their synchronisation status,show
netscaler,Citrix NetScaler,GSLB,add gslb site <name> <ip>,Creates a GSLB site object,show
netscaler,Citrix NetScaler,GSLB,add gslb vserver <name> <protocol>,Creates a GSLB virtual server,show
netscaler,Citrix NetScaler,GSLB,add gslb service <name> <server-ip> <protocol> <port> -siteName <site>,Creates a GSLB service and associates it with a site,show
netscaler,Citrix NetScaler,GSLB,bind gslb vserver <name> -serviceName <service>,Binds a GSLB service to a GSLB virtual server,show
netscaler,Citrix NetScaler,GSLB,set gslb vserver <name> -lbMethod ROUNDROBIN,Sets the GSLB load balancing method,show
netscaler,Citrix NetScaler,GSLB,set gslb vserver <name> -lbMethod RTT,Sets GSLB to use Round Trip Time for dynamic proximity-based routing,show
netscaler,Citrix NetScaler,GSLB,show gslb runningconfig,Displays the complete GSLB configuration in running state,show
netscaler,Citrix NetScaler,GSLB,sync gslb config -preview,Previews pending GSLB config sync to remote sites without applying,show
netscaler,Citrix NetScaler,GSLB,sync gslb config,Triggers immediate GSLB configuration sync to all remote sites,show
netscaler,Citrix NetScaler,AAA & Authentication,show aaa user,Lists all locally defined AAA users and group memberships,show
netscaler,Citrix NetScaler,AAA & Authentication,show authentication vserver,Lists all authentication virtual servers,show
netscaler,Citrix NetScaler,AAA & Authentication,add system user <username> <password>,Creates a new NetScaler management user,show
netscaler,Citrix NetScaler,AAA & Authentication,add authentication ldapAction <name> -serverIP <ip> -ldapBase <dn>,Creates an LDAP auth action for AD authentication,show
netscaler,Citrix NetScaler,AAA & Authentication,add authentication samlAction <name> -samlIdPCertName <cert> -samlRedirectUrl <url>,Creates a SAML auth action for federated SSO,show
netscaler,Citrix NetScaler,AAA & Authentication,kill aaa session -username <user>,Terminates all active Gateway sessions for a user,show
netscaler,Citrix NetScaler,AAA & Authentication,show aaa session,Lists all active AAA/Gateway sessions with usernames and IPs,show
netscaler,Citrix NetScaler,AAA & Authentication,set system user <username> -externalAuth ENABLED,Enables external authentication (LDAP/RADIUS) for a management user,show
netscaler,Citrix NetScaler,Diagnostics,ping <destination-ip>,ICMP echo requests from NSIP to test basic IP reachability,show
netscaler,Citrix NetScaler,Diagnostics,ping -S <source-ip> <destination-ip>,Ping from a specific source IP e.g. a SNIP,show
netscaler,Citrix NetScaler,Diagnostics,traceroute <destination-ip>,Traces network path from NetScaler to destination,show
netscaler,Citrix NetScaler,Diagnostics,nstrace -size 0 -tcpdump YES -nodes 0,Starts packet capture on all interfaces in pcap format,show
netscaler,Citrix NetScaler,Diagnostics,nstrace -stop,Stops an active packet capture session,show
netscaler,Citrix NetScaler,Diagnostics,shell tail -f /var/log/ns.log,Follows ns.log in real time — primary troubleshooting command,show
netscaler,Citrix NetScaler,Diagnostics,shell tail -f /var/log/bash.log,Follows CLI audit log in real time,show
netscaler,Citrix NetScaler,Diagnostics,shell grep ERR /var/log/ns.log,Searches ns.log for error lines,show
netscaler,Citrix NetScaler,Diagnostics,shell cat /var/log/ssl.log,Prints SSL log — diagnose SSL handshake errors,show
netscaler,Citrix NetScaler,Diagnostics,shell cat /var/log/aaa.log,Prints AAA authentication log,show
netscaler,Citrix NetScaler,Diagnostics,shell df -h,Disk usage for all partitions in human-readable format,show
netscaler,Citrix NetScaler,Diagnostics,show ns events,"Recent system events: state changes, failovers, cert expiry warnings",show
netscaler,Citrix NetScaler,Diagnostics,show ns connectiontable -detail full,Full connection table with per-connection details,show
netscaler,Citrix NetScaler,Diagnostics,nsconmsg -d current -g all,Reads nsconmsg counters live from the NetScaler — powerful diagnostic tool,show
netscaler,Citrix NetScaler,Diagnostics,shell netstat -an | grep ESTABLISHED | wc -l,Counts established TCP connections from the BSD shell,show
paloalto,Palo Alto Firewall,System & Status,show system info,"General system info: model, serial, software version, uptime",show
paloalto,Palo Alto Firewall,System & Status,show system resources,"Current CPU, memory, and process utilisation",show
paloalto,Palo Alto Firewall,System & Status,show system disk-space,Disk usage across all partitions,show
paloalto,Palo Alto Firewall,System & Status,show system log,"System event log: health, config changes, errors",show
paloalto,Palo Alto Firewall,System & Status,request system software check,Checks for available PAN-OS software updates,show
paloalto,Palo Alto Firewall,System & Status,request system software download version <version>,Downloads a specific PAN-OS version,show
paloalto,Palo Alto Firewall,System & Status,request system software install version <version>,Installs a downloaded PAN-OS version (reboot required),show
paloalto,Palo Alto Firewall,System & Status,request system restart,Full system reboot,show
paloalto,Palo Alto Firewall,System & Status,request system shutdown,Gracefully powers off the firewall,show
paloalto,Palo Alto Firewall,System & Status,show chassis-ready,Confirms the chassis and all cards are operationally ready,show
paloalto,Palo Alto Firewall,System & Status,show environment all,"Reports fan speeds, PSU states, and component temperatures",show
paloalto,Palo Alto Firewall,System & Status,show jobs all,"Lists all background jobs: content updates, commits, software installs",show
paloalto,Palo Alto Firewall,Interfaces,show interface all,Operational status and statistics for all interfaces,show
paloalto,Palo Alto Firewall,Interfaces,show interface <interface-name>,Live operational status and statistics for a specific interface,show
paloalto,Palo Alto Firewall,Interfaces,set interface <interface-name> unit <unit> family inet address <ip>,Assigns an IPv4 address to a logical sub-unit,show
paloalto,Palo Alto Firewall,Interfaces,set interface <interface-name> mtu <mtu-value>,Sets the Maximum Transmission Unit for the interface,show
paloalto,Palo Alto Firewall,Interfaces,set interface <interface-name> management-profile <profile-name>,"Applies a management profile controlling ping, SSH, HTTPS permissions",show
paloalto,Palo Alto Firewall,Interfaces,set interface <interface-name> comment <description>,Adds a human-readable description to the interface,show
paloalto,Palo Alto Firewall,Interfaces,debug interface <interface-name> clear counters,Resets all packet and error counters on the interface,show
paloalto,Palo Alto Firewall,Interfaces,show interface hardware,"Shows physical hardware details for all interfaces: MAC, speed, duplex",show
paloalto,Palo Alto Firewall,Zones,set zone <zone-name> network layer3 <interface-name>,Assigns a Layer 3 interface to a security zone,show
paloalto,Palo Alto Firewall,Zones,set zone <zone-name> network layer2 <interface-name>,Assigns a Layer 2 interface to a security zone,show
paloalto,Palo Alto Firewall,Zones,set zone <zone-name> enable-user-identification yes,Enables User-ID on the zone for username-based policies,show
paloalto,Palo Alto Firewall,Zones,set zone <zone-name> log-setting <log-profile>,Attaches a log forwarding profile to the zone,show
paloalto,Palo Alto Firewall,Zones,show zone all,Displays configuration of all security zones,show
paloalto,Palo Alto Firewall,Zones,set zone <zone-name> network tap <interface-name>,Assigns an interface in TAP (passive monitoring) mode to a zone,show
paloalto,Palo Alto Firewall,Routing,show routing route,Full routing table including all active routes and sources,show
paloalto,Palo Alto Firewall,Routing,show routing summary,Summarised routing table grouped by protocol type,show
paloalto,Palo Alto Firewall,Routing,show routing fib,Forwarding Information Base — actual forwarding decisions,show
paloalto,Palo Alto Firewall,Routing,test routing fib-lookup virtual-router <vr-name> ip <ip-address>,Tests which route would be used to forward to a specific IP,show
paloalto,Palo Alto Firewall,Routing,set virtual-router <vr-name> routing-table ip static-route <name> destination <ip/mask>,Defines destination network for a static route,show
paloalto,Palo Alto Firewall,Routing,set virtual-router <vr-name> routing-table ip static-route <name> nexthop ip-address <ip>,Sets next-hop IP for a static route,show
paloalto,Palo Alto Firewall,Routing,set virtual-router <vr-name> protocol ospf enable yes,Enables OSPF on the virtual router,show
paloalto,Palo Alto Firewall,Routing,set virtual-router <vr-name> protocol bgp enable yes,Enables BGP on the virtual router,show
paloalto,Palo Alto Firewall,Routing,set virtual-router <vr-name> protocol bgp local-as <asn>,Sets local ASN for BGP,show
paloalto,Palo Alto Firewall,Routing,show routing protocol ospf neighbor,"OSPF neighbour table: state, area, and interface details",show
paloalto,Palo Alto Firewall,Routing,show routing protocol bgp summary,"BGP peer summary: state, prefixes received, and uptime",show
paloalto,Palo Alto Firewall,Security Policies,show running security-policy,Currently active security policy rules as enforced by the dataplane,show
paloalto,Palo Alto Firewall,Security Policies,test security-policy-match from <zone> to <zone> source <ip> destination <ip> application <app>,Simulates traffic and shows which rule would match,show
paloalto,Palo Alto Firewall,Security Policies,set rulebase security rules <rule-name> from <source-zone>,Specifies source security zone for the rule,show
paloalto,Palo Alto Firewall,Security Policies,set rulebase security rules <rule-name> to <destination-zone>,Specifies destination security zone for the rule,show
paloalto,Palo Alto Firewall,Security Policies,set rulebase security rules <rule-name> source <source-address>,Restricts rule to traffic from a specific source address,show
paloalto,Palo Alto Firewall,Security Policies,set rulebase security rules <rule-name> destination <destination-address>,Restricts rule to traffic destined for a specific address,show
paloalto,Palo Alto Firewall,Security Policies,set rulebase security rules <rule-name> application <application-name>,Matches rule to a specific App-ID application,show
paloalto,Palo Alto Firewall,Security Policies,set rulebase security rules <rule-name> action allow/deny/drop,"Sets action: allow, deny (TCP reset), or drop (silent discard)",show
paloalto,Palo Alto Firewall,Security Policies,set rulebase security rules <rule-name> log-start yes,Enables logging at the start of matching sessions,show
paloalto,Palo Alto Firewall,Security Policies,set rulebase security rules <rule-name> log-end yes,Enables logging at the end of matching sessions,show
paloalto,Palo Alto Firewall,Security Policies,set rulebase security rules <rule-name> disabled yes/no,Enables or disables the rule without deleting it,show
paloalto,Palo Alto Firewall,Security Policies,set rulebase security rules <rule-name> profile-setting profiles virus <av-profile>,Attaches an Antivirus profile to the rule,show
paloalto,Palo Alto Firewall,Security Policies,set rulebase security rules <rule-name> profile-setting profiles vulnerability <vp-profile>,Attaches a Vulnerability Protection profile to the rule,show
paloalto,Palo Alto Firewall,Security Policies,set rulebase security rules <rule-name> profile-setting profiles url-filtering <url-profile>,Attaches a URL Filtering profile to the rule,show
paloalto,Palo Alto Firewall,Security Policies,set rulebase security rules <rule-name> tag [ <tag1> <tag2> ],Tags a security rule for grouping and policy filtering,show
paloalto,Palo Alto Firewall,NAT,show running nat-policy,All currently active NAT rules as enforced,show
paloalto,Palo Alto Firewall,NAT,test nat-policy-match source <ip> destination <ip> from <zone> to <zone>,Simulates traffic to determine which NAT rule applies,show
paloalto,Palo Alto Firewall,NAT,set rulebase nat rules <rule-name> source-translation dynamic-ip-and-port interface-address interface <interface>,PAT using the egress interface IP — common for internet-bound traffic,show
paloalto,Palo Alto Firewall,NAT,set rulebase nat rules <rule-name> source-translation static-ip bi-directional yes translated-address <ip>,Static 1:1 NAT with bi-directional translation,show
paloalto,Palo Alto Firewall,NAT,set rulebase nat rules <rule-name> destination-translation translated-address <ip>,Destination NAT to redirect inbound traffic to an internal IP,show
paloalto,Palo Alto Firewall,NAT,set rulebase nat rules <rule-name> destination-translation translated-port <port>,Override destination port for port forwarding scenarios,show
paloalto,Palo Alto Firewall,Network Objects,set address <name> ip-netmask <ip>/<mask>,Creates an address object for a host or subnet in CIDR notation,show
paloalto,Palo Alto Firewall,Network Objects,set address <name> ip-range <start-ip> <end-ip>,Creates an address object for an IP range,show
paloalto,Palo Alto Firewall,Network Objects,set address <name> fqdn <hostname>,Creates an address object that resolves an FQDN dynamically,show
paloalto,Palo Alto Firewall,Network Objects,show address all,Lists all address objects,show
paloalto,Palo Alto Firewall,Network Objects,set address-group <name> static [ <addr1> <addr2> ],Creates a static address group,show
paloalto,Palo Alto Firewall,Network Objects,show address-group all,Lists all address groups and their members,show
paloalto,Palo Alto Firewall,Network Objects,set service <name> protocol tcp port <port-number>,Creates a TCP service object for a specific port,show
paloalto,Palo Alto Firewall,Network Objects,set service <name> protocol udp port <port-number>,Creates a UDP service object for a specific port,show
paloalto,Palo Alto Firewall,Network Objects,set service-group <name> static [ <svc1> <svc2> ],Creates a service group combining multiple service objects,show
paloalto,Palo Alto Firewall,Network Objects,delete address <name>,Permanently removes an address object,show
paloalto,Palo Alto Firewall,Network Objects,set tag <name> color <color>,Creates a tag object with a colour for policy organisation,show
paloalto,Palo Alto Firewall,VPN,show vpn ipsec-sa,All active IPSec Security Associations and their status,show
paloalto,Palo Alto Firewall,VPN,show vpn ipsec-sa tunnel <tunnel-name>,IPSec SA details for a specific named tunnel,show
paloalto,Palo Alto Firewall,VPN,show vpn ike-sa,All active IKE Phase 1 Security Associations,show
paloalto,Palo Alto Firewall,VPN,show vpn flow,Real-time traffic flow stats through all active VPN tunnels,show
paloalto,Palo Alto Firewall,VPN,test vpn ipsec-sa tunnel <tunnel-name>,Initiates IKE negotiation to bring up a specific IPSec tunnel,show
paloalto,Palo Alto Firewall,VPN,set network ike gateway <name> authentication pre-shared-key key <key>,Configures PSK for IKE Phase 1 authentication,show
paloalto,Palo Alto Firewall,VPN,set network ike gateway <name> peer-address ip <peer-ip>,Specifies remote VPN peer IP for this IKE gateway,show
paloalto,Palo Alto Firewall,VPN,set network ike gateway <name> protocol ikev2,Sets IKE version to IKEv2,show
paloalto,Palo Alto Firewall,VPN,set network tunnel ipsec <name> auto-key ike-gateway <gateway-name>,Associates an IPSec tunnel with an IKE gateway,show
paloalto,Palo Alto Firewall,VPN,show global-protect-gateway current-user,Lists all users currently connected to GlobalProtect,show
paloalto,Palo Alto Firewall,VPN,show global-protect-gateway statistics,"GlobalProtect gateway stats: active tunnels, data rates, auth events",show
paloalto,Palo Alto Firewall,High Availability,show high-availability state,"Current HA state (active, passive, suspended) and peer status",show
paloalto,Palo Alto Firewall,High Availability,show high-availability all,Comprehensive HA config and runtime status for both peers,show
paloalto,Palo Alto Firewall,High Availability,show high-availability path-monitoring,Status of all configured path monitoring links,show
paloalto,Palo Alto Firewall,High Availability,set high-availability mode active-passive,Configures HA in active/passive mode,show
paloalto,Palo Alto Firewall,High Availability,set high-availability mode active-active,Configures HA in active/active mode,show
paloalto,Palo Alto Firewall,High Availability,set high-availability group <group-id> peer-ip <ip>,Sets the HA peer device IP address,show
paloalto,Palo Alto Firewall,High Availability,set high-availability election-option priority primary,Sets this device as preferred primary in HA election,show
paloalto,Palo Alto Firewall,High Availability,request high-availability state suspend,Forces device into suspended HA state — use for planned maintenance,show
paloalto,Palo Alto Firewall,High Availability,request high-availability state functional,Returns a suspended device to functional HA state,show
